dateday,season,month,weekday,workingday,holidays,cnt,duration_min,duration_hr
2023-01-01,4,1,6,0,0,5114,115511.96666666666,1925.1994444444442
2023-01-02,4,1,0,1,1,5766,114070.4,1901.1733333333332
2023-01-03,4,1,1,1,0,6409,99069.25,1651.1541666666667
2023-01-04,4,1,2,1,0,6694,96291.3,1604.855
2023-01-05,4,1,3,1,0,7118,106219.43333333333,1770.3238888888889
2023-01-06,4,1,4,1,0,5876,80226.86666666667,1337.1144444444444
2023-01-07,4,1,5,0,0,6085,96123.01666666666,1602.0502777777776
2023-01-08,4,1,6,0,0,4436,67349.7,1122.495
2023-01-09,4,1,0,1,0,5773,78946.6,1315.7766666666669
2023-01-10,4,1,1,1,0,6473,85015.31666666667,1416.9219444444445
2023-01-11,4,1,2,1,0,6461,94678.53333333334,1577.9755555555557
2023-01-12,4,1,3,1,0,5998,82471.85,1374.5308333333335
2023-01-13,4,1,4,1,0,5715,77952.43333333333,1299.2072222222223
2023-01-14,4,1,5,0,0,4330,64115.416666666664,1068.5902777777778
2023-01-15,4,1,6,0,0,4535,67944.15,1132.4025
2023-01-16,4,1,0,1,1,5456,93582.7,1559.7116666666666
2023-01-17,4,1,1,1,0,5328,78831.46666666666,1313.8577777777778
2023-01-18,4,1,2,1,0,7345,100996.78333333334,1683.2797222222223
2023-01-19,4,1,3,1,0,5247,61334.38333333333,1022.2397222222222
2023-01-20,4,1,4,1,0,6509,88251.46666666666,1470.8577777777778
2023-01-21,4,1,5,0,0,6021,87677.91666666667,1461.298611111111
2023-01-22,4,1,6,0,0,3511,52058.666666666664,867.6444444444444
2023-01-23,4,1,0,1,0,5175,68307.25,1138.4541666666667
2023-01-24,4,1,1,1,0,6918,89276.38333333333,1487.9397222222221
2023-01-25,4,1,2,1,0,3975,45652.26666666667,760.8711111111112
2023-01-26,4,1,3,1,0,6703,96791.36666666667,1613.1894444444445
2023-01-27,4,1,4,1,0,6027,79172.41666666667,1319.5402777777779
2023-01-28,4,1,5,0,0,7337,138211.25,2303.5208333333335
2023-01-29,4,1,6,0,0,4125,57163.95,952.7325
2023-01-30,4,1,0,1,0,6657,98644.7,1644.0783333333334
2023-01-31,4,1,1,1,0,4370,52060.63333333333,867.6772222222222
2023-02-01,4,2,2,1,0,6234,76353.36666666667,1272.5561111111112
2023-02-02,4,2,3,1,0,6082,74362.56666666667,1239.3761111111112
2023-02-03,4,2,4,1,0,4189,50667.28333333333,844.4547222222222
2023-02-04,4,2,5,0,0,3512,47079.4,784.6566666666666
2023-02-05,4,2,6,0,0,5456,81411.93333333333,1356.8655555555556
2023-02-06,4,2,0,1,0,6084,76551.35,1275.8558333333335
2023-02-07,4,2,1,1,0,6956,87731.71666666666,1462.1952777777776
2023-02-08,4,2,2,1,0,8511,130581.65,2176.360833333333
2023-02-09,4,2,3,1,0,8203,112682.2,1878.0366666666666
2023-02-10,4,2,4,1,0,7986,111694.15,1861.5691666666667
2023-02-11,4,2,5,0,0,6951,113281.78333333334,1888.0297222222223
2023-02-12,4,2,6,0,0,2074,25617.933333333334,426.96555555555557
2023-02-13,4,2,0,1,0,6788,96176.95,1602.9491666666665
2023-02-14,4,2,1,1,0,8071,115019.01666666666,1916.983611111111
2023-02-15,4,2,2,1,0,8265,116769.96666666666,1946.166111111111
2023-02-16,4,2,3,1,0,6149,79291.51666666666,1321.5252777777778
2023-02-17,4,2,4,1,0,4373,52320.8,872.0133333333334
2023-02-18,4,2,5,0,0,5812,98310.8,1638.5133333333333
2023-02-19,4,2,6,0,0,6877,146079.58333333334,2434.659722222222
2023-02-20,4,2,0,1,1,6331,113348.0,1889.1333333333334
2023-02-21,4,2,1,1,0,7598,112651.7,1877.5283333333332
2023-02-22,4,2,2,1,0,6994,85378.55,1422.9758333333334
2023-02-23,4,2,3,1,0,9907,172995.56666666668,2883.259444444445
2023-02-24,4,2,4,1,0,7100,103554.93333333333,1725.9155555555556
2023-02-25,4,2,5,0,0,4390,60651.6,1010.86
2023-02-26,4,2,6,0,0,6516,117965.35,1966.0891666666669
2023-02-27,4,2,0,1,0,4869,59061.2,984.3533333333332
2023-02-28,4,2,1,1,0,7675,120823.58333333333,2013.7263888888888
2023-03-01,1,3,2,1,0,8055,112090.11666666667,1868.1686111111112
2023-03-02,1,3,3,1,0,8015,108191.85,1803.1975
2023-03-03,1,3,4,1,0,3808,43544.13333333333,725.7355555555555
2023-03-04,1,3,5,0,0,7762,132783.51666666666,2213.058611111111
2023-03-05,1,3,6,0,0,8419,161421.25,2690.3541666666665
2023-03-06,1,3,0,1,0,7377,113391.38333333333,1889.856388888889
2023-03-07,1,3,1,1,0,7144,95941.15,1599.0191666666665
2023-03-08,1,3,2,1,0,7577,109890.46666666666,1831.5077777777776
2023-03-09,1,3,3,1,0,8209,123880.23333333334,2064.6705555555554
2023-03-10,1,3,4,1,0,4325,58168.5,969.475
2023-03-11,1,3,5,0,0,6190,102583.93333333333,1709.7322222222222
2023-03-12,1,3,6,0,0,4260,63699.9,1061.665
2023-03-13,1,3,0,1,0,5684,79277.15,1321.2858333333331
2023-03-14,1,3,1,1,0,5519,74330.55,1238.8425
2023-03-15,1,3,2,1,0,6207,84270.18333333333,1404.5030555555556
2023-03-16,1,3,3,1,0,8832,150173.96666666667,2502.8994444444447
2023-03-17,1,3,4,1,0,7660,123395.76666666666,2056.596111111111
2023-03-18,1,3,5,0,0,9693,200177.48333333334,3336.291388888889
2023-03-19,1,3,6,0,0,4936,85237.55,1420.6258333333333
2023-03-20,1,3,0,1,0,7156,107988.0,1799.8
2023-03-21,1,3,1,1,0,9577,162027.58333333334,2700.4597222222224
2023-03-22,1,3,2,1,0,10808,194030.93333333332,3233.8488888888887
2023-03-23,1,3,3,1,0,11861,221248.21666666667,3687.470277777778
2023-03-24,1,3,4,1,0,4397,57667.583333333336,961.126388888889
2023-03-25,1,3,5,0,0,6126,106776.9,1779.615
2023-03-26,1,3,6,0,0,14304,412706.36666666664,6878.439444444444
2023-03-27,1,3,0,1,0,8481,143179.56666666668,2386.3261111111115
2023-03-28,1,3,1,1,0,10195,170921.63333333333,2848.693888888889
2023-03-29,1,3,2,1,0,10502,168610.33333333334,2810.1722222222224
2023-03-30,1,3,3,1,0,9663,149441.5,2490.6916666666666
2023-03-31,1,3,4,1,0,9578,157159.75,2619.329166666667
2023-04-01,1,4,5,0,0,8899,183205.23333333334,3053.4205555555554
2023-04-02,1,4,6,0,0,10070,224198.0,3736.633333333333
2023-04-03,1,4,0,1,0,10219,188781.45,3146.3575
2023-04-04,1,4,1,1,0,12192,227058.05,3784.3008333333332
2023-04-05,1,4,2,1,0,12159,221172.68333333332,3686.2113888888885
2023-04-06,1,4,3,1,0,9876,160798.23333333334,2679.9705555555556
2023-04-07,1,4,4,1,0,9138,172420.51666666666,2873.675277777778
2023-04-08,1,4,5,0,0,10106,193659.36666666667,3227.656111111111
2023-04-09,1,4,6,0,0,9206,197979.3,3299.6549999999997
2023-04-10,1,4,0,1,0,9759,158689.3,2644.8216666666663
2023-04-11,1,4,1,1,0,11562,194439.08333333334,3240.651388888889
2023-04-12,1,4,2,1,0,12308,205422.16666666666,3423.7027777777776
2023-04-13,1,4,3,1,0,12555,214362.31666666668,3572.705277777778
2023-04-14,1,4,4,1,0,11450,199292.96666666667,3321.5494444444444
2023-04-15,1,4,5,0,0,11573,238260.3,3971.0049999999997
2023-04-16,1,4,6,0,0,10950,235650.03333333333,3927.5005555555554
2023-04-17,1,4,0,1,1,9326,141756.38333333333,2362.606388888889
2023-04-18,1,4,1,1,0,11357,182377.78333333333,3039.629722222222
2023-04-19,1,4,2,1,0,11801,185246.2,3087.436666666667
2023-04-20,1,4,3,1,0,11949,191114.56666666668,3185.242777777778
2023-04-21,1,4,4,1,0,12058,219954.13333333333,3665.902222222222
2023-04-22,1,4,5,0,0,7989,149003.53333333333,2483.3922222222222
2023-04-23,1,4,6,0,0,10944,212986.81666666668,3549.780277777778
2023-04-24,1,4,0,1,0,9831,149555.21666666667,2492.5869444444447
2023-04-25,1,4,1,1,0,11034,180454.08333333334,3007.568055555556
2023-04-26,1,4,2,1,0,10790,164771.58333333334,2746.193055555556
2023-04-27,1,4,3,1,0,11372,185778.6,3096.31
2023-04-28,1,4,4,1,0,2247,28808.55,480.1425
2023-04-29,1,4,5,0,0,12266,253798.11666666667,4229.968611111111
2023-04-30,1,4,6,0,0,4559,68262.8,1137.7133333333334
2023-05-01,1,5,0,1,0,9657,134652.78333333333,2244.2130555555555
2023-05-02,1,5,1,1,0,8898,117759.4,1962.6566666666665
2023-05-03,1,5,2,1,0,9603,136805.03333333333,2280.083888888889
2023-05-04,1,5,3,1,0,10786,152731.05,2545.5175
2023-05-05,1,5,4,1,0,11486,200949.26666666666,3349.1544444444444
2023-05-06,1,5,5,0,0,12917,267793.9666666667,4463.232777777778
2023-05-07,1,5,6,0,0,9366,170436.06666666668,2840.6011111111115
2023-05-08,1,5,0,1,0,10290,158863.05,2647.7174999999997
2023-05-09,1,5,1,1,0,10376,147163.61666666667,2452.7269444444446
2023-05-10,1,5,2,1,0,12590,219285.01666666666,3654.7502777777777
2023-05-11,1,5,3,1,0,12450,205299.93333333332,3421.6655555555553
2023-05-12,1,5,4,1,0,12188,215635.53333333333,3593.9255555555555
2023-05-13,1,5,5,0,0,8172,132681.88333333333,2211.364722222222
2023-05-14,1,5,6,0,0,11434,246754.68333333332,4112.578055555556
2023-05-15,1,5,0,1,0,10784,187995.28333333333,3133.254722222222
2023-05-16,1,5,1,1,0,11090,162936.98333333334,2715.616388888889
2023-05-17,1,5,2,1,0,12407,187730.83333333334,3128.847222222222
2023-05-18,1,5,3,1,0,12155,188051.25,3134.1875
2023-05-19,1,5,4,1,0,12949,230511.51666666666,3841.8586111111113
2023-05-20,1,5,5,0,0,11933,248837.73333333334,4147.295555555555
2023-05-21,1,5,6,0,0,11384,236907.56666666668,3948.4594444444447
2023-05-22,1,5,0,1,0,10964,186962.61666666667,3116.043611111111
2023-05-23,1,5,1,1,0,12103,202763.63333333333,3379.393888888889
2023-05-24,1,5,2,1,0,12185,188851.46666666667,3147.5244444444447
2023-05-25,1,5,3,1,0,12064,188170.23333333334,3136.1705555555554
2023-05-26,1,5,4,1,0,11910,213000.56666666668,3550.009444444445
2023-05-27,1,5,5,0,0,11994,280598.0333333333,4676.633888888889
2023-05-28,1,5,6,0,0,10362,231409.23333333334,3856.8205555555555
2023-05-29,1,5,0,1,1,5894,111878.16666666667,1864.6361111111112
2023-05-30,1,5,1,1,0,11223,177546.6,2959.11
2023-05-31,1,5,2,1,0,12595,193487.13333333333,3224.7855555555557
2023-06-01,2,6,3,1,0,12515,185682.01666666666,3094.7002777777775
2023-06-02,2,6,4,1,0,11961,190155.23333333334,3169.253888888889
2023-06-03,2,6,5,0,0,13028,267934.7833333333,4465.579722222222
2023-06-04,2,6,6,0,0,11881,236467.23333333334,3941.1205555555557
2023-06-05,2,6,0,1,0,11102,183887.85,3064.7975
2023-06-06,2,6,1,1,0,12541,196458.31666666668,3274.305277777778
2023-06-07,2,6,2,1,0,11432,168343.1,2805.7183333333332
2023-06-08,2,6,3,1,0,9161,126681.65,2111.360833333333
2023-06-09,2,6,4,1,0,11436,177401.8,2956.6966666666663
2023-06-10,2,6,5,0,0,13493,269762.3,4496.038333333333
2023-06-11,2,6,6,0,0,12188,237567.9,3959.4649999999997
2023-06-12,2,6,0,1,0,9214,127106.26666666666,2118.4377777777777
2023-06-13,2,6,1,1,0,12900,200797.65,3346.6275
2023-06-14,2,6,2,1,0,13015,218892.73333333334,3648.2122222222224
2023-06-15,2,6,3,1,0,13310,201199.98333333334,3353.333055555556
2023-06-16,2,6,4,1,0,11739,193710.35,3228.5058333333336
2023-06-17,2,6,5,0,0,13161,268218.05,4470.300833333333
2023-06-18,2,6,6,0,0,11720,237736.96666666667,3962.282777777778
2023-06-19,2,6,0,1,1,11227,212710.61666666667,3545.1769444444444
2023-06-20,2,6,1,1,0,12526,197749.11666666667,3295.8186111111113
2023-06-21,2,6,2,1,0,5400,68073.06666666667,1134.5511111111111
2023-06-22,2,6,3,1,0,9884,137074.46666666667,2284.5744444444445
2023-06-23,2,6,4,1,0,7293,130309.26666666666,2171.821111111111
2023-06-24,2,6,5,0,0,13022,242855.25,4047.5875
2023-06-25,2,6,6,0,0,12089,227844.51666666666,3797.408611111111
2023-06-26,2,6,0,1,0,10196,158022.11666666667,2633.7019444444445
2023-06-27,2,6,1,1,0,10458,159933.41666666666,2665.556944444444
2023-06-28,2,6,2,1,0,12776,201390.7,3356.5116666666668
2023-06-29,2,6,3,1,0,10964,167543.66666666666,2792.394444444444
2023-06-30,2,6,4,1,0,10241,149113.7,2485.2283333333335
2023-07-01,2,7,5,0,0,10077,189031.08333333334,3150.5180555555557
2023-07-02,2,7,6,0,0,10234,196838.46666666667,3280.641111111111
2023-07-03,2,7,0,1,0,10841,210250.16666666666,3504.1694444444443
2023-07-04,2,7,1,1,1,15020,360946.43333333335,6015.773888888889
2023-07-05,2,7,2,1,0,10830,169328.81666666668,2822.1469444444447
2023-07-06,2,7,3,1,0,11584,177071.13333333333,2951.1855555555553
2023-07-07,2,7,4,1,0,11455,175384.88333333333,2923.081388888889
2023-07-08,2,7,5,0,0,12684,244053.11666666667,4067.5519444444444
2023-07-09,2,7,6,0,0,10504,184949.13333333333,3082.4855555555555
2023-07-10,2,7,0,1,0,11747,183833.88333333333,3063.8980555555554
2023-07-11,2,7,1,1,0,12909,196918.65,3281.9775
2023-07-12,2,7,2,1,0,12614,184721.75,3078.695833333333
2023-07-13,2,7,3,1,0,12193,180121.68333333332,3002.0280555555555
2023-07-14,2,7,4,1,0,10460,153930.43333333332,2565.507222222222
2023-07-15,2,7,5,0,0,12754,243521.95,4058.6991666666668
2023-07-16,2,7,6,0,0,10389,183056.61666666667,3050.9436111111113
2023-07-17,2,7,0,1,0,11310,180530.71666666667,3008.845277777778
2023-07-18,2,7,1,1,0,12978,199966.16666666666,3332.769444444444
2023-07-19,2,7,2,1,0,12429,198257.63333333333,3304.293888888889
2023-07-20,2,7,3,1,0,13361,207572.83333333334,3459.5472222222224
2023-07-21,2,7,4,1,0,13190,221689.63333333333,3694.827222222222
2023-07-22,2,7,5,0,0,14115,313498.6666666667,5224.977777777778
