dateday,hour,season,month,weekday,workingday,holidays,cnt,duration_min,duration_hr
2023-01-01,0,4,1,6,0,0,101,1410.6166666666666,23.510277777777777
2023-01-01,1,4,1,6,0,0,161,3532.4500000000003,58.874166666666675
2023-01-01,2,4,1,6,0,0,149,2874.1666666666665,47.90277777777778
2023-01-01,3,4,1,6,0,0,65,1036.85,17.28083333333333
2023-01-01,4,4,1,6,0,0,19,195.85,3.2641666666666667
2023-01-01,5,4,1,6,0,0,15,214.51666666666665,3.5752777777777776
2023-01-01,6,4,1,6,0,0,29,379.3833333333333,6.323055555555555
2023-01-01,7,4,1,6,0,0,34,530.6,8.843333333333334
2023-01-01,8,4,1,6,0,0,66,871.0833333333334,14.518055555555556
2023-01-01,9,4,1,6,0,0,147,2672.0333333333333,44.53388888888889
2023-01-01,10,4,1,6,0,0,237,6400.233333333334,106.67055555555557
2023-01-01,11,4,1,6,0,0,346,8961.483333333334,149.35805555555555
2023-01-01,12,4,1,6,0,0,436,9976.166666666666,166.26944444444445
2023-01-01,13,4,1,6,0,0,519,15202.3,253.37166666666664
2023-01-01,14,4,1,6,0,0,482,12732.333333333334,212.20555555555558
2023-01-01,15,4,1,6,0,0,586,14351.116666666667,239.18527777777777
2023-01-01,16,4,1,6,0,0,571,14294.733333333334,238.24555555555557
2023-01-01,17,4,1,6,0,0,385,7474.05,124.56750000000001
2023-01-01,18,4,1,6,0,0,258,4842.9,80.71499999999999
2023-01-01,19,4,1,6,0,0,178,3196.9333333333334,53.282222222222224
2023-01-01,20,4,1,6,0,0,108,1569.8333333333333,26.163888888888888
2023-01-01,21,4,1,6,0,0,99,1070.5833333333333,17.843055555555555
2023-01-01,22,4,1,6,0,0,65,992.1,16.535
2023-01-01,23,4,1,6,0,0,58,729.65,12.160833333333333
2023-01-02,0,4,1,0,1,1,40,539.4833333333333,8.991388888888888
2023-01-02,1,4,1,0,1,1,16,165.05,2.7508333333333335
2023-01-02,2,4,1,0,1,1,11,187.6833333333333,3.128055555555555
2023-01-02,3,4,1,0,1,1,7,95.13333333333333,1.5855555555555554
2023-01-02,4,4,1,0,1,1,5,53.9,0.8983333333333333
2023-01-02,5,4,1,0,1,1,23,298.0333333333333,4.9672222222222215
2023-01-02,6,4,1,0,1,1,41,867.7166666666667,14.461944444444445
